Category|Descript
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|UNKNOWN COMPLAINT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
ASSAULT|BATTERY
DRUG/NARCOTIC|POSSESSION OF HEROIN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|PETTY THEFT BICYCLE
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
FRAUD|FALSE PRETENSES, GRAND THEFT
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ASSAULT|THREATS AGAINST LIFE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
SECONDARY CODES|JUVENILE INVOLVED
LARCENY/THEFT|GRAND THEFT PURSESNATCH
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
LARCENY/THEFT|GRAND THEFT FROM PERSON
ASSAULT|ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|BATTERY
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
LARCENY/THEFT|GRAND THEFT BICYCLE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
ASSAULT|BATTERY
SECONDARY CODES|GANG ACTIVITY
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM PERSON
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|TRAFFIC VIOLATION
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
ROBBERY|ROBBERY, BODILY FORCE
ASSAULT|BATTERY
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
WARRANTS|ENROUTE TO PAROLE OFFICER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|CRUELTY TO ANIMALS
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
BURGLARY|BURGLARY, FORCIBLE ENTRY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
MISSING PERSON|MISSING ADULT
OTHER OFFENSES|VIOLATION OF MUNICIPAL POLICE CODE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|POSSESSION OF HEROIN
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
NON-CRIMINAL|LOCATED PROPERTY
ASSAULT|BATTERY
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DISORDERLY CONDUCT|DISTURBING THE PEACE, FIGHTING
WARRANTS|WARRANT ARREST
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
NON-CRIMINAL|LOST PROPERTY
ROBBERY|ROBBERY ON THE STREET WITH A GUN
OTHER OFFENSES|TRAFFIC VIOLATION
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
MISSING PERSON|MISSING ADULT
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
NON-CRIMINAL|FOUND PROPERTY
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
VEHICLE THEFT|STOLEN TRUCK
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
LARCENY/THEFT|PETTY THEFT OF PROPERTY
MISSING PERSON|MISSING JUVENILE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A GUN
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
ASSAULT|ATTEMPTED HOMICIDE WITH A KNIFE
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
OTHER OFFENSES|TRAFFIC VIOLATION
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
ASSAULT|BATTERY
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
DRUG/NARCOTIC|TRANSPORTATION OF METH-AMPHETAMINE
SUSPICIOUS OCC|UNUSUAL OCCURENCE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
NON-CRIMINAL|FOUND PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FRAUD|FALSE PRETENSES, GRAND THEFT
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
MISSING PERSON|MISSING ADULT
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
ASSAULT|ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|CHILD ABUSE (PHYSICAL)
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|INFLICT INJURY ON COHABITEE
WEAPON LAWS|WEAPON, POSSESS OR BRING OTHER ON SCHOOL GROUNDS
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|AIDED CASE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|LOST PROPERTY
WARRANTS|WARRANT ARREST
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
TRESPASS|TRESPASSING
NON-CRIMINAL|LOST PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|WARRANT ARREST
VEHICLE THEFT|STOLEN AUTOMOBILE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|PETTY THEFT WITH PRIOR
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM PERSON
ASSAULT|THREATS AGAINST LIFE
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|FOUND PERSON
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT OF PROPERTY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
WEAPON LAWS|POSS OF PROHIBITED WEAPON
LIQUOR LAWS|SALE OF ALCOHOL TO MINOR
NON-CRIMINAL|STAY AWAY OR COURT ORDER, NON-DV RELATED
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|LOST PROPERTY
WEAPON LAWS|POSS OF PROHIBITED WEAPON
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
WEAPON LAWS|CARRYING A CONCEALED WEAPON
MISSING PERSON|MISSING JUVENILE
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT OF PROPERTY
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
ASSAULT|BATTERY WITH SERIOUS INJURIES
OTHER OFFENSES|PAROLE VIOLATION
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
TRESPASS|TRESPASSING
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
LIQUOR LAWS|CONSUMING ALCOHOL IN PUBLIC VIEW
OTHER OFFENSES|OPEN CONTAINER OF ALCOHOL IN VEHICLE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|PETTY THEFT OF PROPERTY
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FRAUD|CREDIT CARD, THEFT BY USE OF
ASSAULT|BATTERY OF A POLICE OFFICER
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
ASSAULT|BATTERY
ASSAULT|ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
WARRANTS|WARRANT ARREST
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ASSAULT|BATTERY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
ASSAULT|INFLICT INJURY ON COHABITEE
KIDNAPPING|KIDNAPPING, ADULT VICTIM
ROBBERY|ATTEMPTED ROBBERY WITH BODILY FORCE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
LARCENY/THEFT|GRAND THEFT BICYCLE
NON-CRIMINAL|LOST PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
TRESPASS|TRESPASSING
LARCENY/THEFT|PETTY THEFT OF PROPERTY
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
NON-CRIMINAL|AIDED CASE, INJURED PERSON
WARRANTS|WARRANT ARREST
ASSAULT|BATTERY
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
TRESPASS|TRESPASSING
LARCENY/THEFT|ATTEMPTED THEFT OF A BICYCLE
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|HYPODERMIC NEEDLE OR SYRINGE, POSSESSION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
OTHER OFFENSES|RESISTING ARREST
ASSAULT|BATTERY
OTHER OFFENSES|UNKNOWN COMPLAINT
ASSAULT|BATTERY
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
SUICIDE|ATTEMPTED SUICIDE BY FIREARMS
ASSAULT|BATTERY
SEX OFFENSES FORCIBLE|CHILD ABUSE SEXUAL
SEX OFFENSES FORCIBLE|SODOMY (ADULT VICTIM)
LARCENY/THEFT|PETTY THEFT OF PROPERTY
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
RUNAWAY|RUNAWAY
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE FOR SALE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
FORGERY/COUNTERFEITING|FORGERY, NOTES
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
NON-CRIMINAL|LOST PROPERTY
RUNAWAY|RUNAWAY
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
TRESPASS|TRESPASSING
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
NON-CRIMINAL|FOUND PROPERTY
ASSAULT|RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH
WARRANTS|WARRANT ARREST
NON-CRIMINAL|TARASOFF REPORT
WARRANTS|WARRANT ARREST
BURGLARY|BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
LARCENY/THEFT|PETTY THEFT WITH PRIOR
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LIQUOR LAWS|POSSESSION OF ALCOHOL BY MINOR
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
TRESPASS|TRESPASSING
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|LOST PROPERTY
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
OTHER OFFENSES|RESISTING ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|PROBATION VIOLATION
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT AUTO STRIP
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT PICKPOCKET
LARCENY/THEFT|GRAND THEFT PICKPOCKET
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT PICKPOCKET
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ASSAULT|BATTERY
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|MISSING ADULT
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUICIDE|ATTEMPTED SUICIDE
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|INFLICT INJURY ON COHABITEE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
WARRANTS|WARRANT ARREST
BURGLARY|BURGLARY, VEHICLE (ARREST MADE)
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
OTHER OFFENSES|ACTS AGAINST PUBLIC TRANSIT
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
WARRANTS|WARRANT ARREST
FRAUD|CREDIT CARD, THEFT BY USE OF
MISSING PERSON|MISSING JUVENILE
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
OTHER OFFENSES|DANGER OF LEADING IMMORAL LIFE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
FRAUD|CREDIT CARD, THEFT BY USE OF
SECONDARY CODES|DOMESTIC VIOLENCE
SECONDARY CODES|DOMESTIC VIOLENCE
ROBBERY|ROBBERY, ARMED WITH A DANGEROUS WEAPON
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|TAMPERING WITH A VEHICLE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
MISSING PERSON|MISSING ADULT
DRUG/NARCOTIC|POSSESSION OF HEROIN FOR SALES
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES|PAROLE VIOLATION
ROBBERY|ROBBERY, BODILY FORCE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
ASSAULT|BATTERY
ASSAULT|BATTERY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WEAPON LAWS|LOITERING WHILE CARRYING CONCEALED WEAPON
TRESPASS|LODGING WITHOUT PERMISSION
LARCENY/THEFT|THEFT FROM MERCHANT OR LIBRARY
WEAPON LAWS|POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
LARCENY/THEFT|PETTY THEFT OF PROPERTY
FRAUD|CREDIT CARD, THEFT BY USE OF
DRUG/NARCOTIC|TRANSPORTATION OF COCAINE
FRAUD|CREDIT CARD, THEFT BY USE OF
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
SEX OFFENSES FORCIBLE|CHILD ABUSE SEXUAL
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
NON-CRIMINAL|LOST PROPERTY
FRAUD|CREDIT CARD, THEFT BY USE OF
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|THREATS AGAINST LIFE
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT BICYCLE
NON-CRIMINAL|FOUND PROPERTY
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
SECONDARY CODES|DOMESTIC VIOLENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
OTHER OFFENSES|DISRUPTS SCHOOL ACTIVITIES
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|RECOVERED VEHICLE - STOLEN OUTSIDE SF
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
VEHICLE THEFT|STOLEN TRUCK
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
ROBBERY|ROBBERY ON THE STREET, STRONGARM
OTHER OFFENSES|HARASSING PHONE CALLS
LARCENY/THEFT|GRAND THEFT FROM PERSON
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|BATTERY
ASSAULT|THREATS AGAINST LIFE
TRESPASS|TRESPASSING
NON-CRIMINAL|LOST PROPERTY
MISSING PERSON|MISSING ADULT
BURGLARY|BURGLARY, UNLAWFUL ENTRY
OTHER OFFENSES|FALSE PERSONATION
WEAPON LAWS|POSS OF LOADED FIREARM
WARRANTS|WARRANT ARREST
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|AIDED CASE
NON-CRIMINAL|AIDED CASE, SICK PERSON
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|BATTERY
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
DRUG/NARCOTIC|POSSESSION OF HEROIN
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
LARCENY/THEFT|GRAND THEFT FROM PERSON
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
WARRANTS|WARRANT ARREST
ROBBERY|ROBBERY, BODILY FORCE
LIQUOR LAWS|MISCELLANEOUS LIQOUR LAW VIOLATION
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
WARRANTS|WARRANT ARREST
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
ASSAULT|BATTERY
